day,open,high,low,close,volume,amount
2026-07-27 14:02:00,1766.680,1767.156,1764.152,1764.473,2001600,219856896.0000
2026-07-27 14:03:00,1764.353,1767.135,1764.247,1766.512,2185300,182632448.0000
2026-07-27 14:04:00,1766.367,1766.460,1764.704,1764.704,1628700,167362560.0000
2026-07-27 14:05:00,1764.244,1765.770,1762.987,1765.770,2178200,210247680.0000
2026-07-27 14:06:00,1765.782,1770.076,1765.493,1769.995,2876400,284704768.0000
2026-07-27 14:07:00,1770.078,1771.589,1769.825,1769.825,2802300,303398912.0000
2026-07-27 14:08:00,1769.613,1770.170,1767.859,1770.170,1718700,209747968.0000
2026-07-27 14:09:00,1770.216,1772.086,1770.216,1770.269,1971800,227852288.0000
2026-07-27 14:10:00,1770.806,1770.963,1769.634,1770.278,1549100,179240960.0000
2026-07-27 14:11:00,1770.628,1774.293,1769.892,1774.293,1843300,278290432.0000
2026-07-27 14:12:00,1774.524,1774.744,1771.720,1772.113,1858700,218013696.0000
2026-07-27 14:13:00,1772.069,1772.069,1768.460,1768.460,1550700,196558848.0000
2026-07-27 14:14:00,1768.896,1769.378,1766.898,1767.006,2499000,228704256.0000
2026-07-27 14:15:00,1767.046,1770.000,1767.046,1769.886,1493400,188809216.0000
2026-07-27 14:16:00,1769.893,1769.893,1768.639,1769.087,1359200,178266112.0000
2026-07-27 14:17:00,1768.811,1769.202,1766.951,1769.202,1898300,205725696.0000
2026-07-27 14:18:00,1769.253,1773.484,1769.234,1773.353,2388600,267894784.0000
2026-07-27 14:19:00,1773.372,1775.927,1773.217,1775.927,2088000,238772224.0000
2026-07-27 14:20:00,1775.914,1779.410,1774.974,1779.282,2709100,354148352.0000
2026-07-27 14:21:00,1779.806,1779.806,1778.986,1779.494,2375600,296902656.0000
2026-07-27 14:22:00,1779.372,1782.709,1779.372,1782.432,2788400,334004224.0000
2026-07-27 14:23:00,1782.536,1785.383,1782.234,1783.012,4281500,403095552.0000
2026-07-27 14:24:00,1783.121,1783.214,1782.002,1782.002,3008500,272261120.0000
2026-07-27 14:25:00,1782.234,1783.028,1780.225,1780.690,2566200,300400640.0000
2026-07-27 14:26:00,1780.546,1781.892,1780.301,1781.031,1964800,264200192.0000
2026-07-27 14:27:00,1780.689,1780.689,1776.416,1779.265,3261100,346882048.0000
2026-07-27 14:28:00,1779.117,1779.550,1777.836,1777.836,2572000,219832320.0000
2026-07-27 14:29:00,1777.524,1780.121,1777.524,1780.121,1884300,230703104.0000
2026-07-27 14:30:00,1780.244,1785.243,1780.244,1785.235,2417700,342654976.0000
2026-07-27 14:31:00,1785.421,1792.089,1785.421,1792.089,4828600,493133824.0000
2026-07-27 14:32:00,1792.305,1792.986,1789.291,1789.664,4654200,507101184.0000
2026-07-27 14:33:00,1789.973,1795.572,1789.872,1795.572,3677600,494510080.0000
2026-07-27 14:34:00,1795.955,1797.647,1795.023,1797.647,4179900,557006848.0000
2026-07-27 14:35:00,1797.806,1799.876,1797.625,1799.236,5757100,595050496.0000
2026-07-27 14:36:00,1798.741,1800.039,1798.593,1799.687,6820700,525705216.0000
2026-07-27 14:37:00,1799.320,1799.320,1794.639,1796.230,5145100,478060544.0000
2026-07-27 14:38:00,1796.629,1799.300,1796.145,1799.300,3831300,432144384.0000
2026-07-27 14:39:00,1799.948,1805.630,1799.948,1805.615,5565500,637624320.0000
2026-07-27 14:40:00,1805.548,1805.548,1803.110,1805.203,4862200,645169152.0000
2026-07-27 14:41:00,1805.018,1806.704,1804.398,1806.704,5567800,589922304.0000
2026-07-27 14:42:00,1806.937,1808.578,1806.750,1808.481,4804500,610615296.0000
2026-07-27 14:43:00,1808.653,1808.764,1805.302,1805.302,5232100,665559040.0000
2026-07-27 14:44:00,1804.858,1804.858,1800.901,1800.958,4696600,509362176.0000
2026-07-27 14:45:00,1801.121,1804.438,1800.320,1803.464,4780400,535248896.0000
2026-07-27 14:46:00,1803.593,1803.787,1802.077,1802.487,4215500,478208000.0000
2026-07-27 14:47:00,1802.421,1803.217,1802.108,1802.391,3867800,439836672.0000
2026-07-27 14:48:00,1802.287,1803.226,1801.720,1803.226,4071900,442515456.0000
2026-07-27 14:49:00,1803.479,1806.684,1803.479,1805.199,5866100,678420480.0000
2026-07-27 14:50:00,1805.167,1807.437,1805.167,1806.903,4872200,569876480.0000
2026-07-27 14:51:00,1806.765,1807.290,1805.596,1805.596,6876700,654262272.0000
2026-07-27 14:52:00,1806.013,1807.219,1805.486,1807.219,5747200,534781952.0000
2026-07-27 14:53:00,1807.030,1807.886,1806.891,1807.886,5688200,560971776.0000
2026-07-27 14:54:00,1807.829,1808.329,1807.356,1807.900,5142800,603824128.0000
2026-07-27 14:55:00,1807.901,1807.908,1807.036,1807.778,5723700,628195328.0000
2026-07-27 14:56:00,1807.829,1807.992,1807.256,1807.422,5516300,654123008.0000
2026-07-27 14:57:00,1807.479,1807.479,1806.216,1806.514,5883500,721903616.0000
2026-07-27 14:58:00,1806.533,1806.533,1806.444,1806.444,311000,35897344.0000
2026-07-27 15:00:00,1806.675,1807.951,1806.675,1807.951,13171600,1226096640.0000
2026-07-28 09:31:00,1755.867,1760.782,1754.200,1754.200,34285000,4078163968.0000
2026-07-28 09:32:00,1755.085,1770.895,1755.044,1770.158,20332500,2187248640.0000
2026-07-28 09:33:00,1769.988,1769.988,1761.767,1769.897,13494800,1624113152.0000
2026-07-28 09:34:00,1769.456,1776.386,1768.916,1776.160,10468600,1274488832.0000
2026-07-28 09:35:00,1776.693,1784.277,1776.533,1782.113,11223600,1494650880.0000
2026-07-28 09:36:00,1783.693,1789.736,1783.693,1786.861,13268400,1544045568.0000
2026-07-28 09:37:00,1787.672,1797.584,1787.672,1795.477,11617300,1560607744.0000
2026-07-28 09:38:00,1795.534,1795.534,1784.400,1790.895,12565700,1509012480.0000
2026-07-28 09:39:00,1791.744,1793.150,1784.856,1792.348,13005400,1496409088.0000
2026-07-28 09:40:00,1792.260,1793.445,1783.671,1783.945,10370200,1253250048.0000
