date,dir,ret_5d_pct,payoff_pct,cum_pnl_pct
2026-01-05,多,3.5261,3.5261,3.5261
2026-01-06,多,1.349,1.349,4.8751
2026-01-07,多,0.9868,0.9868,5.862
2026-01-08,多,0.7255,0.7255,6.5874
2026-01-09,多,-0.4495,-0.4495,6.138
2026-01-12,多,-1.2314,-1.2314,4.9066
2026-01-13,多,-0.6067,-0.6067,4.2999
2026-01-14,多,-0.2218,-0.2218,4.0781
2026-02-13,多,2.4625,2.4625,6.5406
2026-03-03,多,0.0112,0.0112,6.5518
2026-03-19,空,-2.9319,2.9319,9.4837
2026-03-30,多,-0.8444,-0.8444,8.6393
2026-04-01,多,0.4462,0.4462,9.0855
2026-04-02,多,1.7077,1.7077,10.7932
2026-04-08,多,0.8063,0.8063,11.5995
2026-04-13,多,2.346,2.346,13.9454
2026-04-17,多,0.7027,0.7027,14.6481
2026-04-21,多,-0.1576,-0.1576,14.4905
2026-04-22,多,0.0304,0.0304,14.5209
2026-04-28,多,2.4839,2.4839,17.0049
2026-04-29,多,2.8609,2.8609,19.8657
2026-04-30,多,2.4885,2.4885,22.3542
2026-05-06,多,1.9807,1.9807,24.3349
2026-05-27,多,-0.2384,-0.2384,24.0965
2026-06-10,多,2.8761,2.8761,26.9726
2026-06-12,空,3.264,-3.264,23.7085
2026-06-15,多,0.2387,0.2387,23.9473
2026-06-16,多,0.4624,0.4624,24.4097
2026-06-17,多,0.297,0.297,24.7066
2026-06-22,多,-2.1426,-2.1426,22.564
2026-07-08,空,-0.3853,0.3853,22.9493
2026-07-13,空,-3.0025,3.0025,25.9518
2026-07-14,空,-2.5903,2.5903,28.5421
2026-07-15,空,-2.2386,2.2386,30.7807
2026-08-06,多,0.6822,0.6822,31.4629
2026-08-07,多,-0.3264,-0.3264,31.1365
