entry_dt,entry_px,exit_dt,exit_px
2026-01-08 09:30:00+08:00,4077.715,2026-01-09 09:30:00+08:00,4086.762
2026-01-13 14:30:00+08:00,4144.342,2026-01-15 09:30:00+08:00,4106.224
2026-01-26 09:30:00+08:00,4144.778,2026-01-26 14:30:00+08:00,4141.281
2026-02-12 09:30:00+08:00,4136.99,2026-02-24 09:30:00+08:00,4129.134
2026-02-25 14:30:00+08:00,4136.388,2026-03-02 09:30:00+08:00,4151.801
2026-03-04 09:30:00+08:00,4087.632,2026-03-05 09:30:00+08:00,4109.777
2026-03-20 14:30:00+08:00,3976.142,2026-03-23 11:00:00+08:00,3876.15
2026-03-24 14:30:00+08:00,3865.108,2026-03-27 09:30:00+08:00,3852.094
2026-03-27 14:30:00+08:00,3910.542,2026-04-02 14:30:00+08:00,3916.162
2026-04-03 09:30:00+08:00,3927.592,2026-04-03 14:30:00+08:00,3881.843
2026-04-07 09:30:00+08:00,3884.151,2026-04-07 14:30:00+08:00,3888.554
2026-04-08 14:30:00+08:00,3984.472,2026-04-09 14:30:00+08:00,3966.906
2026-04-13 09:30:00+08:00,3971.199,2026-04-14 09:30:00+08:00,4006.727
2026-04-21 09:30:00+08:00,4075.845,2026-04-23 09:30:00+08:00,4110.788
2026-04-29 09:30:00+08:00,4061.822,2026-05-06 09:30:00+08:00,4135.45
2026-05-06 14:30:00+08:00,4157.347,2026-05-07 09:30:00+08:00,4168.447
2026-05-27 09:30:00+08:00,4138.805,2026-05-27 14:30:00+08:00,4099.343
2026-06-16 09:30:00+08:00,4094.212,2026-06-22 09:30:00+08:00,4093.955
2026-06-22 14:30:00+08:00,4152.544,2026-06-23 09:30:00+08:00,4153.593
2026-07-20 09:30:00+08:00,3791.662,2026-07-20 11:00:00+08:00,3823.317
2026-07-21 09:30:00+08:00,3812.162,2026-07-22 09:30:00+08:00,3839.665
2026-07-29 09:30:00+08:00,3823.293,2026-08-05 09:30:00+08:00,3815.122
2026-08-06 09:30:00+08:00,3864.273,2026-08-10 09:30:00+08:00,3943.816
2026-08-14 14:30:00+08:00,3929.873,2026-08-17 09:30:00+08:00,3930.104
