side,entry_dt,entry_px,exit_dt,exit_px
L,2026-01-08 09:30:00+08:00,4077.715,2026-01-09 09:30:00+08:00,4086.762
L,2026-01-13 14:30:00+08:00,4144.342,2026-01-15 09:30:00+08:00,4106.224
L,2026-01-26 09:30:00+08:00,4144.778,2026-01-26 14:30:00+08:00,4141.281
L,2026-02-12 09:30:00+08:00,4136.99,2026-02-24 09:30:00+08:00,4129.134
L,2026-02-25 14:30:00+08:00,4136.388,2026-03-02 09:30:00+08:00,4151.801
L,2026-03-04 09:30:00+08:00,4087.632,2026-03-05 09:30:00+08:00,4109.777
S,2026-03-19 09:30:00+08:00,4028.542,2026-03-20 09:30:00+08:00,4004.573
L,2026-03-20 14:30:00+08:00,3976.142,2026-03-23 11:00:00+08:00,3876.15
L,2026-03-24 14:30:00+08:00,3865.108,2026-03-27 09:30:00+08:00,3852.094
L,2026-03-27 14:30:00+08:00,3910.542,2026-04-02 14:30:00+08:00,3916.162
L,2026-04-03 09:30:00+08:00,3927.592,2026-04-03 14:30:00+08:00,3881.843
L,2026-04-07 09:30:00+08:00,3884.151,2026-04-07 14:30:00+08:00,3888.554
L,2026-04-08 14:30:00+08:00,3984.472,2026-04-09 14:30:00+08:00,3966.906
L,2026-04-13 09:30:00+08:00,3971.199,2026-04-14 09:30:00+08:00,4006.727
L,2026-04-21 09:30:00+08:00,4075.845,2026-04-23 09:30:00+08:00,4110.788
L,2026-04-29 09:30:00+08:00,4061.822,2026-05-06 09:30:00+08:00,4135.45
L,2026-05-06 14:30:00+08:00,4157.347,2026-05-07 09:30:00+08:00,4168.447
S,2026-05-15 09:30:00+08:00,4174.175,2026-05-18 09:30:00+08:00,4120.14
S,2026-05-19 09:30:00+08:00,4122.961,2026-05-19 14:30:00+08:00,4156.647
S,2026-05-22 11:00:00+08:00,4088.403,2026-05-22 14:30:00+08:00,4113.649
L,2026-05-27 09:30:00+08:00,4138.805,2026-05-27 14:30:00+08:00,4099.343
S,2026-06-02 09:30:00+08:00,4061.463,2026-06-04 09:30:00+08:00,4053.67
S,2026-06-08 09:30:00+08:00,3938.709,2026-06-08 11:00:00+08:00,3996.057
S,2026-06-12 09:30:00+08:00,4017.865,2026-06-15 09:30:00+08:00,4053.582
L,2026-06-16 09:30:00+08:00,4094.212,2026-06-22 09:30:00+08:00,4093.955
L,2026-06-22 14:30:00+08:00,4152.544,2026-06-23 09:30:00+08:00,4153.593
S,2026-07-08 09:30:00+08:00,3996.807,2026-07-09 14:30:00+08:00,4019.072
S,2026-07-13 09:30:00+08:00,3966.023,2026-07-16 11:00:00+08:00,3930.18
L,2026-07-20 09:30:00+08:00,3791.662,2026-07-20 11:00:00+08:00,3823.317
L,2026-07-21 09:30:00+08:00,3812.162,2026-07-22 09:30:00+08:00,3839.665
L,2026-07-29 09:30:00+08:00,3823.293,2026-08-05 09:30:00+08:00,3815.122
L,2026-08-06 09:30:00+08:00,3864.273,2026-08-10 09:30:00+08:00,3943.816
S,2026-08-13 09:30:00+08:00,3957.161,2026-08-13 11:00:00+08:00,3962.166
L,2026-08-14 14:30:00+08:00,3929.873,2026-08-17 09:30:00+08:00,3930.104
