date,nav_long,pos_long,nav_both,pos_both
2026-01-05,1.0,0,1.0,0
2026-01-06,1.0,0,1.0,0
2026-01-07,1.0,0,1.0,0
2026-01-08,1.0,0,1.0,0
2026-01-09,1.0,0,1.0,0
2026-01-12,1.0,0,1.0,0
2026-01-13,1.0,0,1.0,0
2026-01-14,1.0,0,1.0,0
2026-01-15,1.0,0,1.0,0
2026-01-16,1.0,0,1.0,0
2026-01-19,1.0,0,1.0,0
2026-01-20,1.0,0,1.0,0
2026-01-21,1.0,0,1.0,0
2026-01-22,1.0,0,1.0,0
2026-01-23,1.0,0,1.0,0
2026-01-26,1.0,0,1.0,0
2026-01-27,1.0,0,1.0,0
2026-01-28,1.0,0,1.0,0
2026-01-29,1.0,0,1.0,0
2026-01-30,1.0,0,1.0,0
2026-02-02,1.0,0,1.0,0
2026-02-03,1.0,0,1.0,0
2026-02-04,1.0,0,1.0,0
2026-02-05,1.0,0,1.0,0
2026-02-06,1.0,0,1.0,0
2026-02-09,1.0,0,1.0,0
2026-02-10,1.0,0,1.0,0
2026-02-11,1.0,0,1.0,0
2026-02-12,1.0,0,1.0,0
2026-02-13,1.0,0,1.0,0
2026-02-24,1.0,0,1.0,0
2026-02-25,1.0,1,1.0,1
2026-02-26,1.00763,1,1.00763,1
2026-02-27,1.015963,1,1.015963,1
2026-03-02,1.00601,1,1.00601,1
2026-03-03,0.96631,1,0.96631,1
2026-03-04,0.960622,1,0.960622,1
2026-03-05,0.969713,1,0.969713,1
2026-03-06,0.978939,1,0.978939,1
2026-03-09,0.973599,1,0.973599,1
2026-03-10,0.990952,1,0.990952,1
2026-03-11,0.992547,1,0.992547,1
2026-03-12,0.989269,1,0.989269,1
2026-03-13,0.974836,1,0.974836,1
2026-03-16,0.974487,1,0.974487,1
2026-03-17,0.951762,1,0.951762,1
2026-03-18,0.960868,1,0.960868,1
2026-03-19,0.938633,0,0.938633,0
2026-03-20,0.938633,0,0.938633,0
2026-03-23,0.938633,0,0.938633,0
2026-03-24,0.938633,0,0.938633,0
2026-03-25,0.938633,1,0.938633,1
2026-03-26,0.925094,1,0.925094,1
2026-03-27,0.938043,1,0.938043,1
2026-03-30,0.940661,1,0.940661,1
2026-03-31,0.922729,1,0.922729,1
2026-04-01,0.940203,1,0.940203,1
2026-04-02,0.923162,1,0.923162,1
2026-04-03,0.912648,1,0.912648,1
2026-04-07,0.921055,1,0.921055,1
2026-04-08,0.963408,1,0.963408,1
2026-04-09,0.959252,1,0.959252,1
2026-04-10,0.968549,1,0.968549,1
2026-04-13,0.97186,1,0.97186,1
2026-04-14,0.986294,1,0.986294,1
2026-04-15,0.981619,0,0.981619,0
2026-04-16,0.981619,0,0.981619,0
2026-04-17,0.981619,0,0.981619,0
2026-04-20,0.981619,0,0.981619,0
2026-04-21,0.981619,1,0.981619,1
2026-04-22,0.996909,1,0.996909,1
2026-04-23,0.98298,0,0.98298,0
2026-04-24,0.98298,0,0.98298,0
2026-04-27,0.98298,0,0.98298,0
2026-04-28,0.98298,0,0.98298,0
2026-04-29,0.98298,1,0.98298,1
2026-04-30,0.987561,1,0.987561,1
2026-05-06,1.010255,1,1.010255,1
2026-05-07,1.026744,1,1.026744,1
2026-05-08,1.029882,1,1.029882,1
2026-05-11,1.044684,1,1.044684,1
2026-05-12,1.039395,0,1.039395,0
2026-05-13,1.039395,0,1.039395,0
2026-05-14,1.039395,0,1.039395,0
2026-05-15,1.039395,0,1.039395,0
2026-05-18,1.039395,0,1.039395,0
2026-05-19,1.039395,0,1.039395,0
2026-05-20,1.039395,0,1.039395,0
2026-05-21,1.039395,0,1.039395,0
2026-05-22,1.039395,0,1.039395,0
2026-05-25,1.039395,0,1.039395,0
2026-05-26,1.039395,0,1.039395,0
2026-05-27,1.039395,0,1.039395,0
2026-05-28,1.039395,0,1.039395,0
2026-05-29,1.039395,0,1.039395,0
2026-06-01,1.039395,0,1.039395,0
2026-06-02,1.039395,0,1.039395,0
2026-06-03,1.039395,0,1.039395,0
2026-06-04,1.039395,0,1.039395,0
2026-06-05,1.039395,0,1.039395,0
2026-06-08,1.039395,0,1.039395,0
2026-06-09,1.039395,0,1.039395,0
2026-06-10,1.039395,0,1.039395,0
2026-06-11,1.039395,0,1.039395,0
2026-06-12,1.039395,0,1.039395,-1
2026-06-15,1.039395,0,0.999046,0
2026-06-16,1.039395,0,0.999046,0
2026-06-17,1.039395,1,0.999046,1
2026-06-18,1.047342,1,1.006684,1
2026-06-22,1.058645,1,1.017549,1
2026-06-23,1.036478,1,0.996242,1
2026-06-24,1.050025,0,1.009263,0
2026-06-25,1.050025,0,1.009263,0
2026-06-26,1.050025,0,1.009263,0
2026-06-29,1.050025,0,1.009263,0
2026-06-30,1.050025,0,1.009263,0
2026-07-01,1.050025,0,1.009263,0
2026-07-02,1.050025,0,1.009263,0
2026-07-03,1.050025,0,1.009263,0
2026-07-06,1.050025,0,1.009263,0
2026-07-07,1.050025,0,1.009263,0
2026-07-08,1.050025,0,1.009263,-1
2026-07-09,1.050025,0,0.986608,-1
2026-07-10,1.050025,0,0.998706,-1
2026-07-13,1.050025,0,1.048707,-1
2026-07-14,1.050025,0,1.030223,-1
2026-07-15,1.050025,0,1.04417,-1
2026-07-16,1.050025,0,1.069022,-1
2026-07-17,1.050025,0,1.133983,-1
2026-07-20,1.050025,0,1.166038,0
2026-07-21,1.050025,1,1.166038,1
2026-07-22,1.035402,1,1.1498,1
2026-07-23,1.040716,0,1.1557,0
2026-07-24,1.040716,0,1.1557,0
2026-07-27,1.040716,0,1.1557,0
2026-07-28,1.040716,0,1.1557,0
2026-07-29,1.040716,1,1.1557,1
2026-07-30,1.012183,1,1.124014,1
2026-07-31,1.03783,1,1.152495,1
2026-08-03,1.038456,1,1.15319,1
2026-08-04,1.067705,1,1.185671,1
2026-08-05,1.099074,1,1.220506,1
2026-08-06,1.104557,1,1.226595,1
2026-08-07,1.126427,1,1.250881,1
2026-08-10,1.134402,1,1.259737,1
2026-08-11,1.129143,1,1.253897,1
2026-08-12,1.143176,1,1.269481,1
2026-08-13,1.13176,0,1.256803,0
2026-08-14,1.13176,0,1.256803,0
2026-08-17,1.13176,0,1.256803,0
