pool,size,note,to_long,tx_long,q_open,q_exit,mode,mode_word,total_return,annualized,buyhold_return,excess,sharpe,bh_sharpe,mdd,n_roundtrips,n_long_rt,n_short_rt,win_rate,in_market_legs,in_market_frac,avg_hold_legs,n_days,e_mean,e_gt10_frac,h1_excess,h2_excess
S0,30,现役 30（护栏：必须复现 canonical combo_hyst.csv Q10 四行）,2/3,1/2,10,10,long_only,仅做多,0.177889,0.319038,0.002056,0.175834,2.3508,0.1573,0.047782,4,4,0,1.0,30,0.2027,7.5,149,18.78,0.9866,-0.01518,0.181843
X29,29,S0 ∖ 刘海娃娃（达标线外保留者一：波段胜率 48.1%<50%）,2/3,1/2,10,10,long_only,仅做多,0.200379,0.361913,0.002056,0.198323,2.2732,0.1573,0.056224,6,6,0,0.6667,42,0.2838,7.0,149,18.25,0.9866,0.00112,0.185732
X28,28,"S0 ∖ {刘海娃娃, 顺应周期}（= 三条件全严格达标 28 人）",2/3,1/2,10,10,long_only,仅做多,0.185644,0.333758,0.002056,0.183588,2.1347,0.1573,0.056224,7,7,0,0.5714,41,0.277,5.86,149,17.26,0.9866,0.00112,0.171858
SWAP30,30,"X28 ∪ {财牛,拉着幸福手}：恒 30，榜外 top2 先验换未达标尾 2",2/3,1/2,10,10,long_only,仅做多,0.148756,0.264334,0.002056,0.1467,2.0186,0.1573,0.047782,4,4,0,0.75,27,0.1824,6.75,149,18.93,0.9866,-0.01518,0.153986
TK12,12,ORDER[:12]（候选宇宙质量先验降序前 12）,2/3,1/2,10,10,long_only,仅做多,0.115491,0.203035,0.002056,0.113435,1.5995,0.1573,0.049478,1,1,0,1.0,19,0.1284,19.0,149,5.69,0.0336,-0.060977,0.171026
TK15,15,ORDER[:15],2/3,1/2,10,10,long_only,仅做多,0.069858,0.120982,0.002056,0.067803,1.4831,0.1573,0.040961,2,2,0,0.5,10,0.0676,5.0,149,7.29,0.1342,-0.060977,0.125393
TK18,18,ORDER[:18],2/3,1/2,10,10,long_only,仅做多,0.060305,0.104105,0.002056,0.058249,0.7404,0.1573,0.122113,2,2,0,0.5,36,0.2432,18.0,149,9.56,0.2819,-0.060977,0.11584
TK21,21,ORDER[:21],2/3,1/2,10,10,long_only,仅做多,0.114219,0.200715,0.002056,0.112163,1.3994,0.1573,0.048092,3,3,0,0.6667,27,0.1824,9.0,149,11.34,0.604,-0.019513,0.125393
TK24,24,ORDER[:24],2/3,1/2,10,10,long_only,仅做多,0.13276,0.234702,0.002056,0.130704,2.0704,0.1573,0.032026,2,2,0,1.0,18,0.1216,9.0,149,13.58,0.8859,-0.016927,0.140503
S0,30,现役 30（护栏：必须复现 canonical combo_hyst.csv Q10 四行）,2/3,1/2,10,10,long_and_short,多空双向,0.428553,0.827983,0.002056,0.426497,3.2321,0.1573,0.047477,6,4,2,1.0,56,0.3784,9.33,149,18.78,0.9866,-0.01518,0.42153
X29,29,S0 ∖ 刘海娃娃（达标线外保留者一：波段胜率 48.1%<50%）,2/3,1/2,10,10,long_and_short,多空双向,0.455828,0.887401,0.002056,0.453773,3.2041,0.1573,0.054471,8,6,2,0.75,68,0.4595,8.5,149,18.25,0.9866,0.00112,0.426246
X28,28,"S0 ∖ {刘海娃娃, 顺应周期}（= 三条件全严格达标 28 人）",2/3,1/2,10,10,long_and_short,多空双向,0.414757,0.798226,0.002056,0.412701,3.1419,0.1573,0.054471,9,7,2,0.6667,65,0.4392,7.22,149,17.26,0.9866,0.00112,0.387575
SWAP30,30,"X28 ∪ {财牛,拉着幸福手}：恒 30，榜外 top2 先验换未达标尾 2",2/3,1/2,10,10,long_and_short,多空双向,0.275,0.508158,0.002056,0.272944,2.5488,0.1573,0.076221,7,4,3,0.7143,41,0.277,5.86,149,18.93,0.9866,-0.01518,0.274701
TK12,12,ORDER[:12]（候选宇宙质量先验降序前 12）,2/3,1/2,10,10,long_and_short,多空双向,0.115491,0.203035,0.002056,0.113435,1.5995,0.1573,0.049478,1,1,0,1.0,19,0.1284,19.0,149,5.69,0.0336,-0.060977,0.171026
TK15,15,ORDER[:15],2/3,1/2,10,10,long_and_short,多空双向,0.068347,0.118306,0.002056,0.066291,1.3473,0.1573,0.045111,4,2,2,0.5,14,0.0946,3.5,149,7.29,0.1342,-0.060977,0.123882
TK18,18,ORDER[:18],2/3,1/2,10,10,long_and_short,多空双向,0.055717,0.096038,0.002056,0.053661,0.681,0.1573,0.125911,3,2,1,0.3333,38,0.2568,12.67,149,9.56,0.2819,-0.060977,0.111252
TK21,21,ORDER[:21],2/3,1/2,10,10,long_and_short,多空双向,0.227215,0.413805,0.002056,0.22516,1.9919,0.1573,0.058177,6,3,3,0.6667,42,0.2838,7.0,149,11.34,0.604,-0.030548,0.24651
TK24,24,ORDER[:24],2/3,1/2,10,10,long_and_short,多空双向,0.326633,0.612892,0.002056,0.324577,2.842,0.1573,0.04649,5,2,3,0.8,45,0.3041,9.0,149,13.58,0.8859,-0.002899,0.309349
