block,label,w,to_long,tx_long,q_open,q_exit,mode,mode_word,total_return,annualized,buyhold_return,excess,sharpe,bh_sharpe,mdd,n_roundtrips,n_long_rt,n_short_rt,win_rate,in_market_legs,in_market_frac,avg_hold_legs,n_days
基线 S0,S0,5,2/3,1/2,10,10,long_only,仅做多,0.177889,0.319038,0.002056,0.175834,2.3508,0.1573,0.047782,4,4,0,1.0,30,0.2027,7.5,149
基线 S0,S0,5,2/3,1/2,10,10,long_and_short,多空双向,0.428553,0.827983,0.002056,0.426497,3.2321,0.1573,0.047477,6,4,2,1.0,56,0.3784,9.33,149
w 窗口轴,w=3,3,2/3,1/2,10,10,long_only,仅做多,0.179808,0.322674,0.002056,0.177752,1.8252,0.1573,0.091426,6,6,0,0.6667,45,0.3041,7.5,149
w 窗口轴,w=3,3,2/3,1/2,10,10,long_and_short,多空双向,0.457651,0.891399,0.002056,0.455595,2.856,0.1573,0.091426,10,6,4,0.6,80,0.5405,8.0,149
w 窗口轴,w=7,7,2/3,1/2,10,10,long_only,仅做多,0.163033,0.291023,0.002056,0.160977,2.1776,0.1573,0.047782,4,4,0,0.75,28,0.1892,7.0,149
w 窗口轴,w=7,7,2/3,1/2,10,10,long_and_short,多空双向,0.410534,0.789159,0.002056,0.408479,3.1205,0.1573,0.071037,6,4,2,0.8333,54,0.3649,9.0,149
w 窗口轴,w=10,10,2/3,1/2,10,10,long_only,仅做多,0.176044,0.315544,0.002056,0.173988,2.3818,0.1573,0.02978,3,3,0,1.0,28,0.1892,9.33,149
w 窗口轴,w=10,10,2/3,1/2,10,10,long_and_short,多空双向,0.426314,0.823141,0.002056,0.424258,3.2459,0.1573,0.051169,5,3,2,1.0,54,0.3649,10.8,149
Q 对称法定人数,"Q=(0,0)",5,2/3,1/2,0,0,long_only,仅做多,0.177889,0.319038,0.002056,0.175834,2.3508,0.1573,0.047782,4,4,0,1.0,30,0.2027,7.5,149
Q 对称法定人数,"Q=(0,0)",5,2/3,1/2,0,0,long_and_short,多空双向,0.428553,0.827983,0.002056,0.426497,3.2321,0.1573,0.047477,6,4,2,1.0,56,0.3784,9.33,149
Q 对称法定人数,"Q=(8,8)",5,2/3,1/2,8,8,long_only,仅做多,0.177889,0.319038,0.002056,0.175834,2.3508,0.1573,0.047782,4,4,0,1.0,30,0.2027,7.5,149
