behavior_group,q,k,same_behavior_cells,n,acc,avg,vol,sharpe,bull_n,bear_n,qual
1,1/2,1,6,139,0.6043,0.4212,1.8023,0.2337,87,52,达标
1,1/2,2,6,139,0.6043,0.4212,1.8023,0.2337,87,52,达标
1,1/2,3,6,139,0.6043,0.4212,1.8023,0.2337,87,52,达标
1,1/2,4,6,139,0.6043,0.4212,1.8023,0.2337,87,52,达标
1,1/2,5,6,139,0.6043,0.4212,1.8023,0.2337,87,52,达标
1,1/2,7,6,139,0.6043,0.4212,1.8023,0.2337,87,52,达标
2,3/5,1,6,87,0.6207,0.5652,1.7703,0.3193,58,29,达标
2,3/5,2,6,87,0.6207,0.5652,1.7703,0.3193,58,29,达标
2,3/5,3,6,87,0.6207,0.5652,1.7703,0.3193,58,29,达标
2,3/5,4,6,87,0.6207,0.5652,1.7703,0.3193,58,29,达标
2,3/5,5,6,87,0.6207,0.5652,1.7703,0.3193,58,29,达标
2,3/5,7,6,87,0.6207,0.5652,1.7703,0.3193,58,29,达标
3,2/3,1,6,46,0.6739,0.7498,1.6453,0.4557,37,9,达标
3,2/3,2,6,46,0.6739,0.7498,1.6453,0.4557,37,9,达标
3,2/3,3,6,46,0.6739,0.7498,1.6453,0.4557,37,9,达标
3,2/3,4,6,46,0.6739,0.7498,1.6453,0.4557,37,9,达标
3,2/3,5,6,46,0.6739,0.7498,1.6453,0.4557,37,9,达标
3,2/3,7,6,46,0.6739,0.7498,1.6453,0.4557,37,9,达标
4,7/10,1,6,30,0.7667,0.978,1.6429,0.5953,24,6,达标
4,7/10,2,6,30,0.7667,0.978,1.6429,0.5953,24,6,达标
4,7/10,3,6,30,0.7667,0.978,1.6429,0.5953,24,6,达标
4,7/10,4,6,30,0.7667,0.978,1.6429,0.5953,24,6,达标
4,7/10,5,6,30,0.7667,0.978,1.6429,0.5953,24,6,达标
4,7/10,7,6,30,0.7667,0.978,1.6429,0.5953,24,6,达标
5,3/4,1,6,15,0.8667,1.1173,1.7835,0.6265,13,2,N=15 < 20
5,3/4,2,6,15,0.8667,1.1173,1.7835,0.6265,13,2,N=15 < 20
5,3/4,3,6,15,0.8667,1.1173,1.7835,0.6265,13,2,N=15 < 20
5,3/4,4,6,15,0.8667,1.1173,1.7835,0.6265,13,2,N=15 < 20
5,3/4,5,6,15,0.8667,1.1173,1.7835,0.6265,13,2,N=15 < 20
5,3/4,7,6,15,0.8667,1.1173,1.7835,0.6265,13,2,N=15 < 20
6,4/5,1,6,6,0.8333,0.5733,2.0954,0.2736,5,1,N=6 < 20
6,4/5,2,6,6,0.8333,0.5733,2.0954,0.2736,5,1,N=6 < 20
6,4/5,3,6,6,0.8333,0.5733,2.0954,0.2736,5,1,N=6 < 20
6,4/5,4,6,6,0.8333,0.5733,2.0954,0.2736,5,1,N=6 < 20
6,4/5,5,6,6,0.8333,0.5733,2.0954,0.2736,5,1,N=6 < 20
6,4/5,7,6,6,0.8333,0.5733,2.0954,0.2736,5,1,N=6 < 20
7,9/10,1,6,1,1.0,2.86,0.0,,1,0,N=1 < 20
7,9/10,2,6,1,1.0,2.86,0.0,,1,0,N=1 < 20
7,9/10,3,6,1,1.0,2.86,0.0,,1,0,N=1 < 20
7,9/10,4,6,1,1.0,2.86,0.0,,1,0,N=1 < 20
7,9/10,5,6,1,1.0,2.86,0.0,,1,0,N=1 < 20
7,9/10,7,6,1,1.0,2.86,0.0,,1,0,N=1 < 20
