rank,name,type,n,acc,avg,vol,sharpe,bull_n,bull_avg,bear_n,bear_avg,qual
1,一只小小牛,博主,24,0.6667,1.0554,3.9223,0.2691,2,-2.12,22,1.3441,达标
2,香满衣,博主,20,0.65,0.7825,3.0379,0.2576,7,-0.7229,13,1.5931,达标
3,综合（swing板 2/3 共识）,综合,46,0.6739,0.7498,1.6453,0.4557,37,0.6011,9,1.3611,达标
4,智由智哉,博主,34,0.5882,0.6397,2.1659,0.2954,29,0.2231,5,3.056,达标
5,股评老陈,博主,45,0.6667,0.6036,1.7033,0.3543,27,0.9578,18,0.0722,达标
6,云帆观市,博主,173,0.5838,0.5221,1.9387,0.2693,104,0.5133,69,0.5355,达标
7,趋势巡航,博主,131,0.6107,0.4231,1.9735,0.2144,70,0.064,61,0.8351,达标
8,孙万林,博主,79,0.5823,0.4109,1.6584,0.2478,29,0.8769,50,0.1406,达标
9,刘海娃娃,博主,52,0.4808,0.3946,3.0224,0.1306,13,1.0523,39,0.1754,达标
10,大盘蜂向标,博主,110,0.6091,0.3854,1.9413,0.1985,48,-0.0037,62,0.6866,达标
11,白猫财眼,博主,87,0.5698,0.3631,2.5025,0.1451,65,0.4051,22,0.2391,达标
12,谭阿坤,博主,25,0.5417,0.3616,1.6734,0.2161,8,0.2675,17,0.4059,达标
13,爱生活的荷叶Rp,博主,65,0.6308,0.3563,2.1238,0.1678,42,0.8512,23,-0.5474,达标
14,时间轨迹,博主,36,0.5278,0.3294,2.8048,0.1175,21,0.0024,15,0.7873,达标
15,四十二流光,博主,134,0.597,0.298,1.8548,0.1607,73,-0.2055,61,0.9005,达标
16,诸葛不亮,博主,147,0.5986,0.2695,1.7997,0.1497,114,0.325,33,0.0776,达标
17,衡山佛曰论股,博主,190,0.5316,0.2628,2.0099,0.1307,87,0.2931,103,0.2372,达标
18,山顶望星空的诗人,博主,54,0.5741,0.2567,1.9011,0.135,23,0.1504,31,0.3355,达标
19,江河之水终有入海之日,博主,84,0.5476,0.2162,1.8369,0.1177,49,0.1416,35,0.3206,达标
20,顺应周期,博主,176,0.4773,0.127,1.931,0.0658,102,0.3486,74,-0.1785,达标
,微风3241,博主,3,0.3333,-0.8833,1.9564,-0.4515,1,-0.1,2,-1.275,波段信号 N=3 < 10
,红红火火的老牛哥,博主,16,0.5625,0.0006,1.651,0.0004,7,0.5757,9,-0.4467,平均分 +0.00 ≤ 0.1
