dt,board,state,action,price,nav,expressed,bull,bear,mixed,bull_frac,trigger,gaps
2026-01-05 09:30:00+08:00,swing,F,hold,3986.972,1.0,9,6,3,0,0.6667,False,0
2026-01-05 11:00:00+08:00,swing,F,hold,4005.239,1.0,9,6,3,0,0.6667,False,0
2026-01-05 14:30:00+08:00,swing,L,buy,4022.828,1.0,10,7,3,0,0.7,True,0
2026-01-06 09:30:00+08:00,swing,L,hold,4026.016,1.000792,10,8,2,0,0.8,True,0
2026-01-06 11:00:00+08:00,swing,L,hold,4060.867,1.009456,10,8,2,0,0.8,True,0
2026-01-06 14:30:00+08:00,swing,L,hold,4079.267,1.01403,10,9,1,1,0.9,True,0
2026-01-07 09:30:00+08:00,swing,L,hold,4083.843,1.015167,13,12,1,0,0.9231,True,0
2026-01-07 11:00:00+08:00,swing,L,hold,4088.37,1.016293,13,12,1,0,0.9231,True,0
2026-01-07 14:30:00+08:00,swing,L,hold,4084.895,1.015429,12,12,0,1,1.0,True,0
2026-01-08 09:30:00+08:00,swing,L,hold,4077.715,1.013644,12,12,0,1,1.0,True,0
2026-01-08 11:00:00+08:00,swing,L,hold,4093.5,1.017568,12,12,0,1,1.0,True,0
2026-01-08 14:30:00+08:00,swing,L,hold,4078.59,1.013861,12,12,0,1,1.0,True,0
2026-01-09 09:30:00+08:00,swing,L,hold,4086.762,1.015893,11,9,2,1,0.8182,True,0
2026-01-09 11:00:00+08:00,swing,L,hold,4114.198,1.022713,10,8,2,2,0.8,True,0
2026-01-09 14:30:00+08:00,swing,L,hold,4113.294,1.022488,10,7,3,2,0.7,True,0
2026-01-12 09:30:00+08:00,swing,L,hold,4134.893,1.027857,12,10,2,2,0.8333,True,0
2026-01-12 11:00:00+08:00,swing,L,hold,4136.1,1.028157,12,10,2,2,0.8333,True,0
2026-01-12 14:30:00+08:00,swing,L,hold,4167.644,1.035999,14,10,4,0,0.7143,True,0
2026-01-13 09:30:00+08:00,swing,F,sell,4169.704,1.036511,12,8,4,0,0.6667,False,0
2026-01-13 11:00:00+08:00,swing,F,hold,4164.898,1.036511,12,8,4,0,0.6667,False,0
2026-01-13 14:30:00+08:00,swing,L,buy,4144.342,1.036511,12,9,3,0,0.75,True,0
2026-01-14 09:30:00+08:00,swing,L,hold,4138.645,1.035086,11,10,1,0,0.9091,True,0
2026-01-14 11:00:00+08:00,swing,L,hold,4179.874,1.045397,11,9,2,0,0.8182,True,0
2026-01-14 14:30:00+08:00,swing,L,hold,4137.396,1.034773,11,8,3,0,0.7273,True,0
2026-01-15 09:30:00+08:00,swing,F,sell,4106.224,1.026977,10,6,4,1,0.6,False,0
2026-01-15 11:00:00+08:00,swing,F,hold,4108.955,1.026977,10,6,4,1,0.6,False,0
2026-01-15 14:30:00+08:00,swing,F,hold,4106.495,1.026977,10,6,4,1,0.6,False,0
2026-01-16 09:30:00+08:00,swing,F,hold,4127.063,1.026977,12,8,4,1,0.6667,False,0
2026-01-16 11:00:00+08:00,swing,L,buy,4111.251,1.026977,13,9,4,0,0.6923,True,0
2026-01-16 14:30:00+08:00,swing,F,sell,4104.195,1.025215,14,7,7,0,0.5,False,0
2026-01-19 09:30:00+08:00,swing,F,hold,4090.718,1.025215,10,5,5,2,0.5,False,0
2026-01-19 11:00:00+08:00,swing,F,hold,4110.795,1.025215,10,4,6,2,0.4,False,0
2026-01-19 14:30:00+08:00,swing,F,hold,4112.119,1.025215,10,5,5,2,0.5,False,0
2026-01-20 09:30:00+08:00,swing,F,hold,4116.366,1.025215,10,6,4,1,0.6,False,0
2026-01-20 11:00:00+08:00,swing,F,hold,4099.124,1.025215,10,6,4,1,0.6,False,0
2026-01-20 14:30:00+08:00,swing,F,hold,4104.784,1.025215,10,6,4,1,0.6,False,0
2026-01-21 09:30:00+08:00,swing,F,hold,4103.529,1.025215,14,9,5,0,0.6429,False,0
2026-01-21 11:00:00+08:00,swing,L,buy,4126.599,1.025215,14,10,4,0,0.7143,True,0
2026-01-21 14:30:00+08:00,swing,F,sell,4114.052,1.022097,14,9,5,0,0.6429,False,0
2026-01-22 09:30:00+08:00,swing,F,hold,4126.072,1.022097,13,8,5,0,0.6154,False,0
2026-01-22 11:00:00+08:00,swing,F,hold,4123.918,1.022097,13,8,5,0,0.6154,False,0
2026-01-22 14:30:00+08:00,swing,F,hold,4122.765,1.022097,13,8,5,0,0.6154,False,0
2026-01-23 09:30:00+08:00,swing,F,hold,4130.108,1.022097,13,7,6,0,0.5385,False,0
2026-01-23 11:00:00+08:00,swing,F,hold,4134.411,1.022097,13,7,6,0,0.5385,False,0
2026-01-23 14:30:00+08:00,swing,F,hold,4136.542,1.022097,13,7,6,0,0.5385,False,0
2026-01-26 09:30:00+08:00,swing,L,buy,4144.778,1.022097,10,8,2,0,0.8,True,0
2026-01-26 11:00:00+08:00,swing,L,hold,4127.838,1.01792,10,8,2,0,0.8,True,0
2026-01-26 14:30:00+08:00,swing,F,sell,4141.281,1.021235,11,7,4,0,0.6364,False,0
2026-01-27 09:30:00+08:00,swing,F,hold,4125.216,1.021235,13,7,6,0,0.5385,False,0
2026-01-27 11:00:00+08:00,swing,F,hold,4136.99,1.021235,13,7,6,0,0.5385,False,0
2026-01-27 14:30:00+08:00,swing,F,hold,4148.279,1.021235,13,7,6,0,0.5385,False,0
2026-01-28 09:30:00+08:00,swing,F,hold,4150.215,1.021235,14,8,6,0,0.5714,False,0
2026-01-28 11:00:00+08:00,swing,F,hold,4141.727,1.021235,14,8,6,0,0.5714,False,0
2026-01-28 14:30:00+08:00,swing,F,hold,4161.72,1.021235,14,9,5,0,0.6429,False,0
2026-01-29 09:30:00+08:00,swing,F,hold,4155.918,1.021235,13,8,5,0,0.6154,False,0
2026-01-29 11:00:00+08:00,swing,F,hold,4151.91,1.021235,13,8,5,0,0.6154,False,0
2026-01-29 14:30:00+08:00,swing,F,hold,4158.053,1.021235,13,7,6,0,0.5385,False,0
2026-01-30 09:30:00+08:00,swing,F,hold,4131.993,1.021235,13,7,6,1,0.5385,False,0
2026-01-30 11:00:00+08:00,swing,F,hold,4100.826,1.021235,13,7,6,1,0.5385,False,0
2026-01-30 14:30:00+08:00,swing,F,hold,4119.827,1.021235,14,9,5,1,0.6429,False,0
2026-02-02 09:30:00+08:00,swing,F,hold,4079.708,1.021235,14,6,8,2,0.4286,False,0
2026-02-02 11:00:00+08:00,swing,F,hold,4075.735,1.021235,14,6,8,2,0.4286,False,0
2026-02-02 14:30:00+08:00,swing,F,hold,4031.868,1.021235,14,7,7,2,0.5,False,0
2026-02-03 09:30:00+08:00,swing,F,hold,4043.906,1.021235,15,6,9,0,0.4,False,0
2026-02-03 11:00:00+08:00,swing,F,hold,4015.758,1.021235,16,6,10,0,0.375,False,0
2026-02-03 14:30:00+08:00,swing,F,hold,4061.634,1.021235,16,8,8,0,0.5,False,0
2026-02-04 09:30:00+08:00,swing,F,hold,4064.677,1.021235,16,8,8,0,0.5,False,0
2026-02-04 11:00:00+08:00,swing,F,hold,4073.296,1.021235,16,8,8,0,0.5,False,0
2026-02-04 14:30:00+08:00,swing,F,hold,4088.641,1.021235,15,8,7,1,0.5333,False,0
2026-02-05 09:30:00+08:00,swing,F,hold,4075.025,1.021235,12,6,6,0,0.5,False,0
2026-02-05 11:00:00+08:00,swing,F,hold,4055.256,1.021235,12,6,6,0,0.5,False,0
2026-02-05 14:30:00+08:00,swing,F,hold,4077.186,1.021235,12,6,6,0,0.5,False,0
2026-02-06 09:30:00+08:00,swing,F,hold,4040.299,1.021235,10,6,4,2,0.6,False,0
2026-02-06 11:00:00+08:00,swing,F,hold,4075.441,1.021235,10,6,4,2,0.6,False,0
2026-02-06 14:30:00+08:00,swing,F,hold,4080.764,1.021235,10,6,4,2,0.6,False,0
2026-02-09 09:30:00+08:00,swing,F,hold,4103.54,1.021235,14,8,6,0,0.5714,False,0
2026-02-09 11:00:00+08:00,swing,F,hold,4113.002,1.021235,14,9,5,0,0.6429,False,0
2026-02-09 14:30:00+08:00,swing,F,hold,4116.762,1.021235,14,9,5,0,0.6429,False,0
2026-02-10 09:30:00+08:00,swing,F,hold,4127.766,1.021235,14,8,6,0,0.5714,False,0
2026-02-10 11:00:00+08:00,swing,F,hold,4124.161,1.021235,14,8,6,0,0.5714,False,0
2026-02-10 14:30:00+08:00,swing,F,hold,4127.807,1.021235,14,7,7,0,0.5,False,0
2026-02-11 09:30:00+08:00,swing,F,hold,4124.428,1.021235,14,6,8,0,0.4286,False,0
2026-02-11 11:00:00+08:00,swing,F,hold,4138.475,1.021235,14,6,8,0,0.4286,False,0
2026-02-11 14:30:00+08:00,swing,F,hold,4134.686,1.021235,14,6,8,0,0.4286,False,0
2026-02-12 09:30:00+08:00,swing,L,buy,4136.99,1.021235,7,6,1,3,0.8571,True,0
2026-02-12 11:00:00+08:00,swing,L,hold,4135.979,1.020986,7,6,1,3,0.8571,True,0
2026-02-12 14:30:00+08:00,swing,L,hold,4135.254,1.020807,7,6,1,3,0.8571,True,0
2026-02-13 09:30:00+08:00,swing,L,hold,4115.924,1.016035,7,6,1,3,0.8571,True,0
2026-02-13 11:00:00+08:00,swing,L,hold,4116.889,1.016273,7,7,0,3,1.0,True,0
2026-02-13 14:30:00+08:00,swing,L,hold,4090.888,1.009855,7,7,0,3,1.0,True,0
