entry_dt,entry_px,exit_dt,exit_px
2026-01-05 14:30:00+08:00,4022.828,2026-01-13 09:30:00+08:00,4169.704
2026-01-13 14:30:00+08:00,4144.342,2026-01-15 09:30:00+08:00,4106.224
2026-01-16 11:00:00+08:00,4111.251,2026-01-16 14:30:00+08:00,4104.195
2026-01-21 11:00:00+08:00,4126.599,2026-01-21 14:30:00+08:00,4114.052
2026-01-26 09:30:00+08:00,4144.778,2026-01-26 14:30:00+08:00,4141.281
2026-02-12 09:30:00+08:00,4136.99,2026-02-24 09:30:00+08:00,4129.134
2026-02-26 09:30:00+08:00,4151.068,2026-02-26 14:30:00+08:00,4140.077
2026-02-27 09:30:00+08:00,4128.897,2026-03-02 09:30:00+08:00,4151.801
2026-03-03 09:30:00+08:00,4189.408,2026-03-04 14:30:00+08:00,4079.398
2026-03-23 09:30:00+08:00,3904.951,2026-03-23 11:00:00+08:00,3876.15
2026-03-30 09:30:00+08:00,3884.277,2026-04-03 14:30:00+08:00,3881.843
2026-04-08 14:30:00+08:00,3984.472,2026-04-09 14:30:00+08:00,3966.906
2026-04-13 09:30:00+08:00,3971.199,2026-04-14 11:00:00+08:00,4004.122
2026-04-17 09:30:00+08:00,4043.381,2026-04-20 09:30:00+08:00,4053.374
2026-04-21 09:30:00+08:00,4075.845,2026-04-23 14:30:00+08:00,4084.648
2026-04-29 09:30:00+08:00,4061.822,2026-05-06 09:30:00+08:00,4135.45
2026-05-06 14:30:00+08:00,4157.347,2026-05-07 09:30:00+08:00,4168.447
2026-05-27 14:30:00+08:00,4099.343,2026-05-28 09:30:00+08:00,4080.304
2026-06-15 09:30:00+08:00,4053.582,2026-06-18 14:30:00+08:00,4098.439
2026-06-22 14:30:00+08:00,4152.544,2026-06-23 11:00:00+08:00,4161.357
2026-07-29 11:00:00+08:00,3791.443,2026-07-29 14:30:00+08:00,3824.507
2026-07-30 09:30:00+08:00,3812.111,2026-07-30 14:30:00+08:00,3819.704
2026-08-03 09:30:00+08:00,3812.613,2026-08-03 14:30:00+08:00,3810.457
2026-08-04 09:30:00+08:00,3816.37,2026-08-04 11:00:00+08:00,3805.776
2026-08-06 09:30:00+08:00,3864.273,2026-08-10 09:30:00+08:00,3943.816
