side,entry_dt,entry_px,exit_dt,exit_px
L,2026-01-05 14:30:00+08:00,4022.828,2026-01-13 09:30:00+08:00,4169.704
L,2026-01-13 14:30:00+08:00,4144.342,2026-01-15 09:30:00+08:00,4106.224
L,2026-01-16 11:00:00+08:00,4111.251,2026-01-16 14:30:00+08:00,4104.195
L,2026-01-21 11:00:00+08:00,4126.599,2026-01-21 14:30:00+08:00,4114.052
L,2026-01-26 09:30:00+08:00,4144.778,2026-01-26 14:30:00+08:00,4141.281
L,2026-02-12 09:30:00+08:00,4136.99,2026-02-24 09:30:00+08:00,4129.134
L,2026-02-26 09:30:00+08:00,4151.068,2026-02-26 14:30:00+08:00,4140.077
L,2026-02-27 09:30:00+08:00,4128.897,2026-03-02 09:30:00+08:00,4151.801
L,2026-03-03 09:30:00+08:00,4189.408,2026-03-04 14:30:00+08:00,4079.398
S,2026-03-19 09:30:00+08:00,4028.542,2026-03-20 09:30:00+08:00,4004.573
L,2026-03-23 09:30:00+08:00,3904.951,2026-03-23 11:00:00+08:00,3876.15
L,2026-03-30 09:30:00+08:00,3884.277,2026-04-03 14:30:00+08:00,3881.843
L,2026-04-08 14:30:00+08:00,3984.472,2026-04-09 14:30:00+08:00,3966.906
L,2026-04-13 09:30:00+08:00,3971.199,2026-04-14 11:00:00+08:00,4004.122
L,2026-04-17 09:30:00+08:00,4043.381,2026-04-20 09:30:00+08:00,4053.374
L,2026-04-21 09:30:00+08:00,4075.845,2026-04-23 14:30:00+08:00,4084.648
S,2026-04-27 09:30:00+08:00,4074.811,2026-04-28 09:30:00+08:00,4076.143
L,2026-04-29 09:30:00+08:00,4061.822,2026-05-06 09:30:00+08:00,4135.45
L,2026-05-06 14:30:00+08:00,4157.347,2026-05-07 09:30:00+08:00,4168.447
S,2026-05-21 09:30:00+08:00,4174.377,2026-05-21 11:00:00+08:00,4177.378
S,2026-05-22 09:30:00+08:00,4096.172,2026-05-22 14:30:00+08:00,4113.649
L,2026-05-27 14:30:00+08:00,4099.343,2026-05-28 09:30:00+08:00,4080.304
S,2026-06-02 09:30:00+08:00,4061.463,2026-06-03 14:30:00+08:00,4080.257
S,2026-06-12 11:00:00+08:00,4051.467,2026-06-15 09:30:00+08:00,4053.582
L,2026-06-15 09:30:00+08:00,4053.582,2026-06-18 14:30:00+08:00,4098.439
L,2026-06-22 14:30:00+08:00,4152.544,2026-06-23 11:00:00+08:00,4161.357
S,2026-06-26 14:30:00+08:00,4038.409,2026-06-29 09:30:00+08:00,4026.686
S,2026-07-06 09:30:00+08:00,4059.194,2026-07-07 09:30:00+08:00,4019.494
S,2026-07-08 09:30:00+08:00,3996.807,2026-07-09 14:30:00+08:00,4019.072
S,2026-07-13 09:30:00+08:00,3966.023,2026-07-16 11:00:00+08:00,3930.18
S,2026-07-23 09:30:00+08:00,3868.087,2026-07-23 11:00:00+08:00,3864.581
L,2026-07-29 11:00:00+08:00,3791.443,2026-07-29 14:30:00+08:00,3824.507
L,2026-07-30 09:30:00+08:00,3812.111,2026-07-30 14:30:00+08:00,3819.704
L,2026-08-03 09:30:00+08:00,3812.613,2026-08-03 14:30:00+08:00,3810.457
L,2026-08-04 09:30:00+08:00,3816.37,2026-08-04 11:00:00+08:00,3805.776
L,2026-08-06 09:30:00+08:00,3864.273,2026-08-10 09:30:00+08:00,3943.816
